RecordID,ClubName,League/Country,BootsName,BootsMaterial,BootsBrand,BootsPack,BootsType,BootsPosition,BootsTopPlayers,PlayerName,PlayerPosition,PlayerNationality,PlayerMarketValue,,,,
1679742361-200,1. FC Köln,Bundesliga,X Speedflow.1,Synthetic,adidas,Diamond Edge,Speed,Attack,Lionel Messi,Jonas Hector,Left Back,Germany,€4 million,,,,
1679742361-201,1. FC Köln,Bundesliga,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Benno Schmitz,Right Back,Germany,€3 million,,,,
1679742361-202,1. FC Köln,Bundesliga,Predator Accuracy.1,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Nikola Soldo,Center Back,Croatia,€2 million,,,,
1679742361-205,1. FC Köln,Bundesliga,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Timo Hübers,Center Back,Germany,€8 million,,,,
1679742361-208,1. FC Köln,Bundesliga,Predator Accuracy.1,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Marvin Schwäbe,Goalkeeper,Germany,€5 million,,,,
1679742361-214,1899 Hoffenheim,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Kasper Dolberg,Center Forward,Denmark,€12 million,,,,
1679742361-215,1899 Hoffenheim,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Andrej Kramaric,Center Forward,Croatia,€9 million,,,,
1679742361-220,1899 Hoffenheim,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Grischa Prömel,Central Midfielder,Germany,€8 million,,,,
1679742361-223,1899 Hoffenheim,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Christoph Baumgartner,Attacking Midfielder,Austria,€20 million,,,,
1679742361-231,1899 Hoffenheim,Bundesliga,F50 Adizero IV Leather,Leather,adidas,Speed Legacy,Speed,Attack,Jordi Alba,Kevin Akpoguma,Center Back,Nigeria,€5 million,,,,
1679742361-236,1899 Hoffenheim,Bundesliga,Predator Accuracy+,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Eduardo Quaresma,Center Back,Portugal,€4 million,,,,
1679742361-237,1899 Hoffenheim,Bundesliga,Predator Freak.1,null,adidas,Meteorite,Control,null,Jude Bellingham,Luca Philipp,Goalkeeper,Germany,€0 million,,,,
1679742361-238,1899 Hoffenheim,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Oliver Baumann,Goalkeeper,Germany,€5 million,,,,
1679742361-240,1899 Hoffenheim,Bundesliga,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Philipp Pentke,Goalkeeper,Germany,€0 million,,,,
1679742361-241,SC Freiburg,Bundesliga,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Nils Petersen,Center Forward,Germany,€2 million,,,,
1679742361-247,SC Freiburg,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Michael Gregoritsch,Center Forward,Austria,€8 million,,,,
1679742361-251,SC Freiburg,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Robert Wagner,Central Midfielder,Germany,€1 million,,,,
1679742361-254,SC Freiburg,Bundesliga,Predator Accuracy.1,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Maximilian Eggestein,Central Midfielder,Germany,€8 million,,,,
1679742361-256,SC Freiburg,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Philipp Lienhart,Center Back,Austria,€20 million,,,,
1679742361-258,SC Freiburg,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Jonathan Schmid,Right Back,France,€1 million,,,,
1679742361-266,SC Freiburg,Bundesliga,Copa Sense.1,K-Leather,adidas,null,Control,Midfield,Paulo Dybala,Benjamin Uphoff,Goalkeeper,Germany,€1 million,,,,
1679742361-267,Werder Bremen,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Maximilian Philipp,Supporting Striker,Germany,€3 million,,,,
1679742361-271,Werder Bremen,Bundesliga,Copa 20.1,Fusionskin,adidas,null,Control,Midfield,Paulo Dybala,Ilia Gruev,Defensive Midfielder,Bulgaria,€3 million,,,,
1679742361-274,Werder Bremen,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Romano Schmid,Attacking Midfielder,Austria,€5 million,,,,
1679742361-275,Werder Bremen,Bundesliga,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Leonardo Bittencourt,Attacking Midfielder,Germany,€4 million,,,,
1679742361-284,Werder Bremen,Bundesliga,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Niklas Stark,Center Back,Germany,€5 million,,,,
1679742361-285,Werder Bremen,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Marco Friedl,Center Back,Austria,€7 million,,,,
1679742361-286,Werder Bremen,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Mitchell Weiser,Right Back,Germany,€4 million,,,,
1679742361-287,Werder Bremen,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Felix Agu,Right Back,Germany,€2 million,,,,
1679742361-290,Werder Bremen,Bundesliga,Predator Freak.1 Low,null,adidas,White Spark,Control,null,Jude Bellingham,Michael Zetterer,Goalkeeper,Germany,€1 million,,,,
1679742361-292,Werder Bremen,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Jiri Pavlenka,Goalkeeper,-,€3 million,,,,
1679742361-295,VfL Bochum,Bundesliga,Predator Accuracy.1,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Philipp Hofmann,Center Forward,Germany,€3 million,,,,
1679742361-297,VfL Bochum,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Gerrit Holtmann,Left Winger,Philippines,€5 million,,,,
1679742361-298,VfL Bochum,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Takuma Asano,Right Winger,Japan,€4 million,,,,
1679742361-300,VfL Bochum,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Philipp Förster,Attacking Midfielder,Germany,€2 million,,,,
