Dist Code,Year,State Code,State Name,Dist Name,PRIMARY SECTOR CONSTANT PRICES (in Millions Rs),PRIMARY SECTOR CURRENT PRICES (in Million Rs),PRIMARY SECTOR CONSTANT SHARES (Percent),PRIMARY SECTOR CURRENT SHARES (Percent),SECONDARY SECTOR CONSTANT PRICES (Millions in Rs),SECONDARY SECTOR CURRENT PRICES (Millions in Rs),SECONDARY SECTOR CONSTANT SHARES (Percent),SECONDARY SECTOR CURRENT SHARES (Percent),TERTIARY SECTOR CONSTANT PRICES (Millions in Rs),TERTIARY SECTOR CURRENT PRICES (Millions in Rs),TERTIARY SECTOR CONSTANT SHARES (Percent),TERTIARY SECTOR CURRENT SHARES (Percent),Total Constant Prices (in Millions Rs),Total Current Prices (in Millions Rs),Per Capita Current Prices (1000 in Rs)
43,2009 (2004),6,Madhya Pradesh,Hoshangabad,8787,12990,27.35,29.55,6842,9239,21.3,21.02,16498,21730,51.35,49.43,32127,43958,36
43,2010 (2004),6,Madhya Pradesh,Hoshangabad,8992,14804,26.08,28.6,7465,10951,21.65,21.16,18022,26008,52.27,50.24,34480,51763,42
43,2011 (2004),6,Madhya Pradesh,Hoshangabad,9971,17711,26.81,29.36,7833,12311,21.06,20.41,19394,30306,52.14,50.24,37198,60327,49
43,2012 (2004),6,Madhya Pradesh,Hoshangabad,11053,21709,27.71,30.65,7924,13409,19.87,18.93,20911,35706,52.42,50.41,39888,70825,56
43,2013 (2004),6,Madhya Pradesh,Hoshangabad,12681,28256,29.24,33.66,8082,14661,18.63,17.47,22612,41021,52.13,48.87,43375,83938,66
44,2007 (2004),1,Andhra Pradesh,Srikakulam,27365,31626,36.15,35.31,14442,18529,19.08,20.69,33889,39402,44.77,44,75697,89556,34
44,2008 (2004),1,Andhra Pradesh,Srikakulam,27789,36025,34.39,34.26,15717,22561,19.45,21.45,37296,46569,46.16,44.29,80802,105155,40
44,2009 (2004),1,Andhra Pradesh,Srikakulam,31697,46315,35.73,36.9,16341,24753,18.42,19.72,40670,54451,45.85,43.38,88707,125519,47
44,2010 (2004),1,Andhra Pradesh,Srikakulam,37044,62631,35.96,38.6,18113,30738,17.58,18.94,47856,68885,46.46,42.46,103013,162253,60
44,2011 (2004),1,Andhra Pradesh,Srikakulam,38444,66589,34.86,36.53,20330,36678,18.44,20.12,51502,79017,46.7,43.35,110276,182284,67
44,2012 (2004),1,Andhra Pradesh,Srikakulam,41610,78061,35.16,36.85,20901,40830,17.66,19.28,55817,92922,47.17,43.87,118329,211812,78
44,2013 (2004),1,Andhra Pradesh,Srikakulam,44603,89340,35.52,36.96,21511,44586,17.13,18.44,59461,107805,47.35,44.6,125574,241731,88
45,2007 (2004),1,Andhra Pradesh,Visakhapatnam,25203,29356,14.04,13.98,59154,73881,32.95,35.19,95178,106732,53.01,50.83,179535,209969,51
45,2008 (2004),1,Andhra Pradesh,Visakhapatnam,26469,34668,13.39,13.8,64835,89582,32.8,35.67,106367,126879,53.81,50.52,197671,251129,61
45,2009 (2004),1,Andhra Pradesh,Visakhapatnam,28606,41951,14.06,15.2,67152,96666,33,35.02,107715,137396,52.94,49.78,203472,276013,66
45,2010 (2004),1,Andhra Pradesh,Visakhapatnam,33323,56864,14.73,16.97,73253,115975,32.38,34.62,119626,162152,52.88,48.4,226202,334991,79
45,2011 (2004),1,Andhra Pradesh,Visakhapatnam,34274,60319,14.45,16.16,80035,134703,33.74,36.08,122868,178296,51.8,47.76,237177,373318,87
45,2012 (2004),1,Andhra Pradesh,Visakhapatnam,36866,70434,14.99,16.89,79190,144278,32.2,34.59,129855,202378,52.81,48.52,245910,417091,96
45,2013 (2004),1,Andhra Pradesh,Visakhapatnam,39287,80192,15.19,17.05,80706,154507,31.2,32.84,138688,235736,53.61,50.11,258680,470435,107
46,2007 (2004),1,Andhra Pradesh,East Godavari,52673,60821,29.37,28.76,48922,60907,27.27,28.8,77775,89756,43.36,42.44,179369,211483,42
46,2008 (2004),1,Andhra Pradesh,East Godavari,51609,66547,27.44,27.4,53314,73473,28.35,30.25,83151,102879,44.21,42.35,188074,242899,48
