uniqueID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album_name,release_date,album_id
10,0.309,0.418,9,-8.622,0,0.031,0.465,7.58E-05,0.295,0.146,134.23,audio_features,2EAdtcUXbHANMnL2isrTvD,spotify:track:2EAdtcUXbHANMnL2isrTvD,https://api.spotify.com/v1/tracks/2EAdtcUXbHANMnL2isrTvD,https://api.spotify.com/v1/audio-analysis/2EAdtcUXbHANMnL2isrTvD,148000,4,Starry Eyes,Dawn FM (Alternate World),07-01-22,2JPcP8HUk2vm7Q8eDJlj0a
11,0.447,0.959,0,-5.59,1,0.348,0.109,2.75E-05,0.0498,0.46,118.167,audio_features,65ujNJp722zl8uEdYGAZrQ,spotify:track:65ujNJp722zl8uEdYGAZrQ,https://api.spotify.com/v1/tracks/65ujNJp722zl8uEdYGAZrQ,https://api.spotify.com/v1/audio-analysis/65ujNJp722zl8uEdYGAZrQ,167256,4,Every Angel is Terrifying,Dawn FM (Alternate World),07-01-22,2JPcP8HUk2vm7Q8eDJlj0a
12,0.767,0.618,10,-7.163,1,0.032,0.31,0,0.179,0.243,121.959,audio_features,3LAJkm4BFdM6Qx5vhmLxsN,spotify:track:3LAJkm4BFdM6Qx5vhmLxsN,https://api.spotify.com/v1/tracks/3LAJkm4BFdM6Qx5vhmLxsN,https://api.spotify.com/v1/audio-analysis/3LAJkm4BFdM6Qx5vhmLxsN,205469,4,Don’t Break My Heart,Dawn FM (Alternate World),07-01-22,2JPcP8HUk2vm7Q8eDJlj0a
13,0.736,0.848,9,-5.494,0,0.171,0.103,0,0.299,0.784,109.946,audio_features,7DSMkUbG7RfbHIqNi9nmVh,spotify:track:7DSMkUbG7RfbHIqNi9nmVh,https://api.spotify.com/v1/tracks/7DSMkUbG7RfbHIqNi9nmVh,https://api.spotify.com/v1/audio-analysis/7DSMkUbG7RfbHIqNi9nmVh,263642,4,I Heard You’re Married (feat. Lil Wayne),Dawn FM (Alternate World),07-01-22,2JPcP8HUk2vm7Q8eDJlj0a
14,0.535,0.791,0,-5.55,1,0.0327,0.00096,0.000155,0.0788,0.5,142.981,audio_features,262jRlviTjqcM2dzMxPxOy,spotify:track:262jRlviTjqcM2dzMxPxOy,https://api.spotify.com/v1/tracks/262jRlviTjqcM2dzMxPxOy,https://api.spotify.com/v1/audio-analysis/262jRlviTjqcM2dzMxPxOy,211814,4,Less Than Zero,Dawn FM (Alternate World),07-01-22,2JPcP8HUk2vm7Q8eDJlj0a
15,0.394,0.519,9,-11.042,0,0.0465,0.75,0.195,0.129,0.241,110.113,audio_features,4nSzpc6A8koEEJBTE33cdK,spotify:track:4nSzpc6A8koEEJBTE33cdK,https://api.spotify.com/v1/tracks/4nSzpc6A8koEEJBTE33cdK,https://api.spotify.com/v1/audio-analysis/4nSzpc6A8koEEJBTE33cdK,179580,4,Phantom Regret by Jim,Dawn FM (Alternate World),07-01-22,2JPcP8HUk2vm7Q8eDJlj0a
16,0.649,0.835,10,-8.611,0,0.0464,0.0402,0.575,0.112,0.457,124.999,audio_features,2OAfIt4rf4GFIceIUB8U6L,spotify:track:2OAfIt4rf4GFIceIUB8U6L,https://api.spotify.com/v1/tracks/2OAfIt4rf4GFIceIUB8U6L,https://api.spotify.com/v1/audio-analysis/2OAfIt4rf4GFIceIUB8U6L,368661,4,Take My Breath (Remix) (feat. Agents of Time),Dawn FM (Alternate World),07-01-22,2JPcP8HUk2vm7Q8eDJlj0a
17,0.774,0.742,6,-7.391,0,0.0784,0.0312,5.03E-05,0.0907,0.677,122.028,audio_features,7aAsStiuC4Zw8vIbvRWtq7,spotify:track:7aAsStiuC4Zw8vIbvRWtq7,https://api.spotify.com/v1/tracks/7aAsStiuC4Zw8vIbvRWtq7,https://api.spotify.com/v1/audio-analysis/7aAsStiuC4Zw8vIbvRWtq7,238033,4,Sacrifice (Remix) (feat. Swedish House Mafia),Dawn FM (Alternate World),07-01-22,2JPcP8HUk2vm7Q8eDJlj0a
18,0.542,0.659,8,-7.289,1,0.0389,0.00279,0,0.105,0.109,120.122,audio_features,3PHx91cSFc4vNVP7TpICVt,spotify:track:3PHx91cSFc4vNVP7TpICVt,https://api.spotify.com/v1/tracks/3PHx91cSFc4vNVP7TpICVt,https://api.spotify.com/v1/audio-analysis/3PHx91cSFc4vNVP7TpICVt,234000,4,Moth To A Flame (with The Weeknd),Dawn FM (Alternate World),07-01-22,2JPcP8HUk2vm7Q8eDJlj0a
19,0.255,0.653,6,-7.972,0,0.0551,0.0337,0.107,0.168,0.058,90.673,audio_features,3KQ1KVG2F8qAospksegrmZ,spotify:track:3KQ1KVG2F8qAospksegrmZ,https://api.spotify.com/v1/tracks/3KQ1KVG2F8qAospksegrmZ,https://api.spotify.com/v1/audio-analysis/3KQ1KVG2F8qAospksegrmZ,250057,5,Alone Again,After Hours (Deluxe),03-04-20,6YlDIxqEjvY63ffH6AwCjd
20,0.64,0.869,4,-5.179,0,0.124,0.0514,0.000121,0.691,0.185,119.949,audio_features,0zzc5kYkzTmWmwrn3CTk5v,spotify:track:0zzc5kYkzTmWmwrn3CTk5v,https://api.spotify.com/v1/tracks/0zzc5kYkzTmWmwrn3CTk5v,https://api.spotify.com/v1/audio-analysis/0zzc5kYkzTmWmwrn3CTk5v,239980,4,Too Late,After Hours (Deluxe),03-04-20,6YlDIxqEjvY63ffH6AwCjd
21,0.466,0.609,10,-7.874,1,0.065,0.0911,9.32E-05,0.122,0.103,81.186,audio_features,6t5zloC7h0EQllwYph9brV,spotify:track:6t5zloC7h0EQllwYph9brV,https://api.spotify.com/v1/tracks/6t5zloC7h0EQllwYph9brV,https://api.spotify.com/v1/audio-analysis/6t5zloC7h0EQllwYph9brV,211402,4,Hardest To Love,After Hours (Deluxe),03-04-20,6YlDIxqEjvY63ffH6AwCjd
22,0.481,0.493,0,-8.311,1,0.051,0.123,0,0.0995,0.211,87.493,audio_features,10HsXXmKdge6ugPcTolceY,spotify:track:10HsXXmKdge6ugPcTolceY,https://api.spotify.com/v1/tracks/10HsXXmKdge6ugPcTolceY,https://api.spotify.com/v1/audio-analysis/10HsXXmKdge6ugPcTolceY,191299,4,Scared To Live,After Hours (Deluxe),03-04-20,6YlDIxqEjvY63ffH6AwCjd
23,0.676,0.61,0,-7.558,1,0.114,0.166,6.47E-05,0.122,0.24,148.118,audio_features,1hzVfz7XfL6rnRAk3LGgC2,spotify:track:1hzVfz7XfL6rnRAk3LGgC2,https://api.spotify.com/v1/tracks/1hzVfz7XfL6rnRAk3LGgC2,https://api.spotify.com/v1/audio-analysis/1hzVfz7XfL6rnRAk3LGgC2,247192,4,Snowchild,After Hours (Deluxe),03-04-20,6YlDIxqEjvY63ffH6AwCjd
24,0.421,0.548,5,-9.006,0,0.0568,0.0476,0.00269,0.187,0.169,146.099,audio_features,5aFoXADqE288FAlbXYmcy6,spotify:track:5aFoXADqE288FAlbXYmcy6,https://api.spotify.com/v1/tracks/5aFoXADqE288FAlbXYmcy6,https://api.spotify.com/v1/audio-analysis/5aFoXADqE288FAlbXYmcy6,355960,4,Escape From LA,After Hours (Deluxe),03-04-20,6YlDIxqEjvY63ffH6AwCjd
25,0.537,0.752,10,-5.488,0,0.132,0.0187,1.36E-06,0.145,0.234,169.97,audio_features,28dQlavHTyrEkmI7w7Nivp,spotify:track:28dQlavHTyrEkmI7w7Nivp,https://api.spotify.com/v1/tracks/28dQlavHTyrEkmI7w7Nivp,https://api.spotify.com/v1/audio-analysis/28dQlavHTyrEkmI7w7Nivp,198267,4,Heartless,After Hours (Deluxe),03-04-20,6YlDIxqEjvY63ffH6AwCjd
26,0.355,0.605,0,-7.34,0,0.0774,0.614,0.0483,0.146,0.123,175.472,audio_features,2QIbiBkgr2pepvCkmWi3Vn,spotify:track:2QIbiBkgr2pepvCkmWi3Vn,https://api.spotify.com/v1/tracks/2QIbiBkgr2pepvCkmWi3Vn,https://api.spotify.com/v1/audio-analysis/2QIbiBkgr2pepvCkmWi3Vn,283217,4,Faith,After Hours (Deluxe),03-04-20,6YlDIxqEjvY63ffH6AwCjd
27,0.518,0.727,1,-5.947,1,0.0557,0.00153,0.000152,0.0882,0.342,170.962,audio_features,5Sg09MvHqNWPWsYeuY2toY,spotify:track:5Sg09MvHqNWPWsYeuY2toY,https://api.spotify.com/v1/tracks/5Sg09MvHqNWPWsYeuY2toY,https://api.spotify.com/v1/audio-analysis/5Sg09MvHqNWPWsYeuY2toY,200046,4,Blinding Lights,After Hours (Deluxe),03-04-20,6YlDIxqEjvY63ffH6AwCjd
28,0.667,0.72,7,-5.349,0,0.0331,0.00255,7.89E-05,0.0753,0.705,100.021,audio_features,3XnkZylcAZ86QAiGVnRVy8,spotify:track:3XnkZylcAZ86QAiGVnRVy8,https://api.spotify.com/v1/tracks/3XnkZylcAZ86QAiGVnRVy8,https://api.spotify.com/v1/audio-analysis/3XnkZylcAZ86QAiGVnRVy8,237522,4,In Your Eyes,After Hours (Deluxe),03-04-20,6YlDIxqEjvY63ffH6AwCjd
29,0.684,0.817,0,-5.499,1,0.0308,0.0222,2.19E-05,0.439,0.623,118.061,audio_features,2ExKb6Ag2WXob6FpkSeXhE,spotify:track:2ExKb6Ag2WXob6FpkSeXhE,https://api.spotify.com/v1/tracks/2ExKb6Ag2WXob6FpkSeXhE,https://api.spotify.com/v1/audio-analysis/2ExKb6Ag2WXob6FpkSeXhE,215627,4,Save Your Tears,After Hours (Deluxe),03-04-20,6YlDIxqEjvY63ffH6AwCjd
30,0.555,0.607,0,-7.907,1,0.0301,0.0313,0.00018,0.101,0.145,94.945,audio_features,22mFHi2NBoZbj9oOoMJgcG,spotify:track:22mFHi2NBoZbj9oOoMJgcG,https://api.spotify.com/v1/tracks/22mFHi2NBoZbj9oOoMJgcG,https://api.spotify.com/v1/audio-analysis/22mFHi2NBoZbj9oOoMJgcG,195815,4,Repeat After Me (Interlude),After Hours (Deluxe),03-04-20,6YlDIxqEjvY63ffH6AwCjd
31,0.659,0.572,5,-6.103,0,0.0304,0.0784,0.00772,0.123,0.14,108.968,audio_features,31bmr5SE0qrrIPhjGbnwKP,spotify:track:31bmr5SE0qrrIPhjGbnwKP,https://api.spotify.com/v1/tracks/31bmr5SE0qrrIPhjGbnwKP,https://api.spotify.com/v1/audio-analysis/31bmr5SE0qrrIPhjGbnwKP,361025,4,After Hours,After Hours (Deluxe),03-04-20,6YlDIxqEjvY63ffH6AwCjd
32,0.249,0.37,0,-9.975,0,0.0357,0.444,4.44E-05,0.0911,0.178,125.209,audio_features,6D3XrPrsF6IUzWiEILNLkq,spotify:track:6D3XrPrsF6IUzWiEILNLkq,https://api.spotify.com/v1/tracks/6D3XrPrsF6IUzWiEILNLkq,https://api.spotify.com/v1/audio-analysis/6D3XrPrsF6IUzWiEILNLkq,192364,3,Until I Bleed Out,After Hours (Deluxe),03-04-20,6YlDIxqEjvY63ffH6AwCjd
33,0.532,0.577,1,-9.313,1,0.0352,0.00253,0.0437,0.234,0.0397,131.922,audio_features,5ciyqWW5YuGqF4Avu7uwry,spotify:track:5ciyqWW5YuGqF4Avu7uwry,https://api.spotify.com/v1/tracks/5ciyqWW5YuGqF4Avu7uwry,https://api.spotify.com/v1/audio-analysis/5ciyqWW5YuGqF4Avu7uwry,222307,4,Nothing Compares - Bonus Track,After Hours (Deluxe),03-04-20,6YlDIxqEjvY63ffH6AwCjd
34,0.689,0.374,5,-10.038,0,0.0851,0.115,0.000132,0.111,0.321,151.98,audio_features,38uNCW1do0LKfMIt4MDkPo,spotify:track:38uNCW1do0LKfMIt4MDkPo,https://api.spotify.com/v1/tracks/38uNCW1do0LKfMIt4MDkPo,https://api.spotify.com/v1/audio-analysis/38uNCW1do0LKfMIt4MDkPo,144540,4,Missed You - Bonus Track,After Hours (Deluxe),03-04-20,6YlDIxqEjvY63ffH6AwCjd
35,0.604,0.26,11,-10.498,1,0.0373,0.841,9.33E-05,0.327,0.318,100.901,audio_features,6rhbL6MhAej39S8KupwjrC,spotify:track:6rhbL6MhAej39S8KupwjrC,https://api.spotify.com/v1/tracks/6rhbL6MhAej39S8KupwjrC,https://api.spotify.com/v1/audio-analysis/6rhbL6MhAej39S8KupwjrC,185689,3,Final Lullaby - Bonus Track,After Hours (Deluxe),03-04-20,6YlDIxqEjvY63ffH6AwCjd
36,0.461,0.593,1,-4.954,1,0.0356,0.17,0,0.307,0.175,134.17,audio_features,09mEdoA6zrmBPgTEN5qXmN,spotify:track:09mEdoA6zrmBPgTEN5qXmN,https://api.spotify.com/v1/tracks/09mEdoA6zrmBPgTEN5qXmN,https://api.spotify.com/v1/audio-analysis/09mEdoA6zrmBPgTEN5qXmN,228373,3,Call Out My Name,"My Dear Melancholy,",30-03-18,4qZBW3f2Q8y0k1A84d4iAO
37,0.456,0.679,8,-5.778,0,0.064,0.596,0.000573,0.129,0.107,92.026,audio_features,4ppTAJUbNXELZcoUaL90wo,spotify:track:4ppTAJUbNXELZcoUaL90wo,https://api.spotify.com/v1/tracks/4ppTAJUbNXELZcoUaL90wo,https://api.spotify.com/v1/audio-analysis/4ppTAJUbNXELZcoUaL90wo,221107,4,Try Me,"My Dear Melancholy,",30-03-18,4qZBW3f2Q8y0k1A84d4iAO
38,0.56,0.678,10,-6.167,0,0.0581,0.61,1.42E-05,0.111,0.29,122.585,audio_features,7DKS0rX27cCEPsK0R6tFWS,spotify:track:7DKS0rX27cCEPsK0R6tFWS,https://api.spotify.com/v1/tracks/7DKS0rX27cCEPsK0R6tFWS,https://api.spotify.com/v1/audio-analysis/7DKS0rX27cCEPsK0R6tFWS,220293,4,Wasted Times,"My Dear Melancholy,",30-03-18,4qZBW3f2Q8y0k1A84d4iAO
39,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26,audio_features,1cKHdTo9u0ZymJdPGSh6nq,spotify:track:1cKHdTo9u0ZymJdPGSh6nq,https://api.spotify.com/v1/tracks/1cKHdTo9u0ZymJdPGSh6nq,https://api.spotify.com/v1/audio-analysis/1cKHdTo9u0ZymJdPGSh6nq,241067,4,I Was Never There,"My Dear Melancholy,",30-03-18,4qZBW3f2Q8y0k1A84d4iAO
40,0.476,0.718,5,-7.227,0,0.149,0.263,0.00261,0.109,0.361,183.932,audio_features,6QdnKD1zwEgyOWtkrdzlOF,spotify:track:6QdnKD1zwEgyOWtkrdzlOF,https://api.spotify.com/v1/tracks/6QdnKD1zwEgyOWtkrdzlOF,https://api.spotify.com/v1/audio-analysis/6QdnKD1zwEgyOWtkrdzlOF,230027,4,Hurt You,"My Dear Melancholy,",30-03-18,4qZBW3f2Q8y0k1A84d4iAO
41,0.404,0.564,11,-7.013,0,0.0344,0.915,0.00252,0.134,0.371,93.631,audio_features,0Nwar8rweBUyfyuoyjjUvk,spotify:track:0Nwar8rweBUyfyuoyjjUvk,https://api.spotify.com/v1/tracks/0Nwar8rweBUyfyuoyjjUvk,https://api.spotify.com/v1/audio-analysis/0Nwar8rweBUyfyuoyjjUvk,170573,4,Privilege,"My Dear Melancholy,",30-03-18,4qZBW3f2Q8y0k1A84d4iAO
42,0.397,0.339,1,-6.688,1,0.0361,0.887,0,0.306,0.459,135.089,audio_features,5PTfZsGlsDDPH8i3PdQnXJ,spotify:track:5PTfZsGlsDDPH8i3PdQnXJ,https://api.spotify.com/v1/tracks/5PTfZsGlsDDPH8i3PdQnXJ,https://api.spotify.com/v1/audio-analysis/5PTfZsGlsDDPH8i3PdQnXJ,224747,3,Call Out My Name - A Cappella,"My Dear Melancholy,",30-03-18,4qZBW3f2Q8y0k1A84d4iAO
43,0.679,0.587,7,-7.015,1,0.276,0.141,6.35E-06,0.137,0.486,186.003,audio_features,7MXVkk9YMctZqd1Srtv4MB,spotify:track:7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,230453,4,Starboy,Starboy,25-11-16,2ODvWsOgouMbaA5xf0RkJe
44,0.573,0.63,1,-8.389,1,0.105,0.189,2.31E-05,0.259,0.218,77.525,audio_features,4F7A0DXBrmUAkp32uenhZt,spotify:track:4F7A0DXBrmUAkp32uenhZt,https://api.spotify.com/v1/tracks/4F7A0DXBrmUAkp32uenhZt,https://api.spotify.com/v1/audio-analysis/4F7A0DXBrmUAkp32uenhZt,249213,4,Party Monster,Starboy,25-11-16,2ODvWsOgouMbaA5xf0RkJe
45,0.517,0.677,8,-6.373,0,0.0746,0.0324,3.37E-05,0.189,0.192,173.978,audio_features,4oeaIftdpT3JuZLcCkKmVE,spotify:track:4oeaIftdpT3JuZLcCkKmVE,https://api.spotify.com/v1/tracks/4oeaIftdpT3JuZLcCkKmVE,https://api.spotify.com/v1/audio-analysis/4oeaIftdpT3JuZLcCkKmVE,220307,4,False Alarm,Starboy,25-11-16,2ODvWsOgouMbaA5xf0RkJe
46,0.706,0.505,8,-6.923,1,0.193,0.142,0,0.164,0.388,160.053,audio_features,37F0uwRSrdzkBiuj0D5UHI,spotify:track:37F0uwRSrdzkBiuj0D5UHI,https://api.spotify.com/v1/tracks/37F0uwRSrdzkBiuj0D5UHI,https://api.spotify.com/v1/audio-analysis/37F0uwRSrdzkBiuj0D5UHI,218880,4,Reminder,Starboy,25-11-16,2ODvWsOgouMbaA5xf0RkJe
47,0.738,0.885,9,-5.547,0,0.206,0.0133,0,0.0821,0.752,112.878,audio_features,36YCdzT57us0LhDmCYtrNE,spotify:track:36YCdzT57us0LhDmCYtrNE,https://api.spotify.com/v1/tracks/36YCdzT57us0LhDmCYtrNE,https://api.spotify.com/v1/audio-analysis/36YCdzT57us0LhDmCYtrNE,232880,4,Rockin’,Starboy,25-11-16,2ODvWsOgouMbaA5xf0RkJe
48,0.664,0.771,0,-5.779,1,0.0533,0.0155,9.60E-06,0.46,0.763,109.945,audio_features,00NAQYOP4AmWR549nnYJZu,spotify:track:00NAQYOP4AmWR549nnYJZu,https://api.spotify.com/v1/tracks/00NAQYOP4AmWR549nnYJZu,https://api.spotify.com/v1/audio-analysis/00NAQYOP4AmWR549nnYJZu,265600,4,Secrets,Starboy,25-11-16,2ODvWsOgouMbaA5xf0RkJe
49,0.624,0.424,1,-8.237,1,0.24,0.286,0,0.173,0.584,76.671,audio_features,1oGdVdYjeQvojGKDddxLQQ,spotify:track:1oGdVdYjeQvojGKDddxLQQ,https://api.spotify.com/v1/tracks/1oGdVdYjeQvojGKDddxLQQ,https://api.spotify.com/v1/audio-analysis/1oGdVdYjeQvojGKDddxLQQ,206013,4,True Colors,Starboy,25-11-16,2ODvWsOgouMbaA5xf0RkJe
50,0.638,0.474,5,-12.7,0,0.124,0.351,0.191,0.105,0.441,179.771,audio_features,4EDijkJdHBZZ0GwJ12iTAj,spotify:track:4EDijkJdHBZZ0GwJ12iTAj,https://api.spotify.com/v1/tracks/4EDijkJdHBZZ0GwJ12iTAj,https://api.spotify.com/v1/audio-analysis/4EDijkJdHBZZ0GwJ12iTAj,111640,4,Stargirl Interlude,Starboy,25-11-16,2ODvWsOgouMbaA5xf0RkJe
51,0.542,0.72,1,-5.136,0,0.0628,0.147,0,0.348,0.623,149.828,audio_features,4h90qkbnW1Qq6pBhoPvwko,spotify:track:4h90qkbnW1Qq6pBhoPvwko,https://api.spotify.com/v1/tracks/4h90qkbnW1Qq6pBhoPvwko,https://api.spotify.com/v1/audio-analysis/4h90qkbnW1Qq6pBhoPvwko,231360,4,Sidewalks,Starboy,25-11-16,2ODvWsOgouMbaA5xf0RkJe
52,0.772,0.504,6,-8.219,0,0.0761,0.129,0,0.125,0.244,140.035,audio_features,4mU5iXHeLgbR94siF7p1sY,spotify:track:4mU5iXHeLgbR94siF7p1sY,https://api.spotify.com/v1/tracks/4mU5iXHeLgbR94siF7p1sY,https://api.spotify.com/v1/audio-analysis/4mU5iXHeLgbR94siF7p1sY,237573,4,Six Feet Under,Starboy,25-11-16,2ODvWsOgouMbaA5xf0RkJe
53,0.711,0.807,7,-5.052,0,0.0608,0.052,0,0.214,0.698,116.971,audio_features,27BgDmciSjoxTG0almHTpZ,spotify:track:27BgDmciSjoxTG0almHTpZ,https://api.spotify.com/v1/tracks/27BgDmciSjoxTG0almHTpZ,https://api.spotify.com/v1/audio-analysis/27BgDmciSjoxTG0almHTpZ,223293,4,Love To Lay,Starboy,25-11-16,2ODvWsOgouMbaA5xf0RkJe
54,0.853,0.663,7,-6.955,0,0.0755,0.0431,8.71E-06,0.0891,0.864,113.998,audio_features,0ifooM33X1iBxVYyOkSbXW,spotify:track:0ifooM33X1iBxVYyOkSbXW,https://api.spotify.com/v1/tracks/0ifooM33X1iBxVYyOkSbXW,https://api.spotify.com/v1/audio-analysis/0ifooM33X1iBxVYyOkSbXW,220173,4,A Lonely Night,Starboy,25-11-16,2ODvWsOgouMbaA5xf0RkJe
55,0.671,0.428,4,-7.052,0,0.124,0.688,0.000182,0.119,0.362,148.04,audio_features,6pDVjCUA3B1vg9waKutAsv,spotify:track:6pDVjCUA3B1vg9waKutAsv,https://api.spotify.com/v1/tracks/6pDVjCUA3B1vg9waKutAsv,https://api.spotify.com/v1/audio-analysis/6pDVjCUA3B1vg9waKutAsv,197653,4,Attention,Starboy,25-11-16,2ODvWsOgouMbaA5xf0RkJe
56,0.537,0.587,7,-7.486,0,0.0771,0.0275,0,0.0961,0.365,149.748,audio_features,15k2nBQJ0teDmPZHrOXL2N,spotify:track:15k2nBQJ0teDmPZHrOXL2N,https://api.spotify.com/v1/tracks/15k2nBQJ0teDmPZHrOXL2N,https://api.spotify.com/v1/audio-analysis/15k2nBQJ0teDmPZHrOXL2N,221920,4,Ordinary Life,Starboy,25-11-16,2ODvWsOgouMbaA5xf0RkJe
57,0.575,0.634,1,-8.1,1,0.068,0.0646,0,0.0878,0.191,109.825,audio_features,57qiTKh8bVX0VtfUNTQqhw,spotify:track:57qiTKh8bVX0VtfUNTQqhw,https://api.spotify.com/v1/tracks/57qiTKh8bVX0VtfUNTQqhw,https://api.spotify.com/v1/audio-analysis/57qiTKh8bVX0VtfUNTQqhw,198653,4,Nothing Without You,Starboy,25-11-16,2ODvWsOgouMbaA5xf0RkJe
58,0.467,0.417,8,-10.614,0,0.074,0.421,0.000202,0.102,0.171,120.021,audio_features,0NWqNXBJTpXbkI5rPWNy3p,spotify:track:0NWqNXBJTpXbkI5rPWNy3p,https://api.spotify.com/v1/tracks/0NWqNXBJTpXbkI5rPWNy3p,https://api.spotify.com/v1/audio-analysis/0NWqNXBJTpXbkI5rPWNy3p,321027,4,All I Know,Starboy,25-11-16,2ODvWsOgouMbaA5xf0RkJe
